Day,Sales,Trading Profit,Operating Expense,Net Profit
11,2910690,982200,1203203,-217921
12,3486166,581113,1306963,-723795
13,4042613,1042048,1358996,-314893
14,4781617,1698717,1414664,286108
15,5519689,1776698,1545103,233650
16,6351125,1951110,1674029,278108
17,7302112,2832381,1735042,1097339
18,8991728,4462852,1829007,2633845
19,9829031,5236410,1890038,3346372
20,11896650,6494322,2103762,4390560
21,13021552,7557064,2161005,5396059
22,14749687,8515780,2478405,6037375
23,16443843,9867316,2578948,7288368
24,18083492,11017092,2790845,8226247
25,18840841,11977488,2849897,9127591
26,19610846,11577327,2963424,8613903
27,20887776,12381366,3093462,9287904
28,22875471,12143192,3227279,8915913
29,23895748,13126007,3295988,9830019
30,27819037,16995463,3357780,13637683
31,28719724,17844343,3422375,14421968
32,29597799,17605039,3652005,13953034
33,33734036,21100261,3776753,17323508
34,37932146,24947709,3995794,20951915
35,42032514,28079091,4163953,23915138
36,43958357,29115501,4366766,24748735
37,44870987,29684016,4501493,25182523
38,47562173,31269560,4855289,26414271
39,49016626,32516586,5004130,27512456
40,50117788,33435701,5112569,28323132
41,51686382,34187910,5314367,28873543
42,52676666,34552146,5518435,29033711
43,54300350,35978593,5633188,30345405
44,59491318,40948852,5884371,35064481
45,63675622,43764319,6008666,37755653
46,65224897,45094203,6148454,38945749
47,68144999,47958440,6322963,41635477
48,69422002,47846803,6678085,41168718
49,70860413,49229147,6802178,42426969
50,73285313,51598973,6979637,44619336
51,74313197,52573898,7053726,45520172
52,77058990,54802995,7715786,47087209
53,80654029,57883508,8243953,49639555
54,83569393,60124444,8550778,51573666
55,85576657,62077241,8725132,53352109
56,87791242,63971743,8902658,55064420
57,89054365,64915828,9108378,55802785
58,90492308,66299499,9175547,57119287
59,91552246,67307069,9239718,58062686
60,92605697,68309311,9304522,59000124
61,93699150,68459314,9554727,58899922
62,96506703,71219435,9728306,61486464
63,97577830,72241548,9783273,62453610
64,99087714,73277521,9896096,63376760
65,103534690,77522053,9948786,67568602
66,105168294,79105154,9997873,69102616
67,106489320,79233728,10180213,69048850
68,107649393,79919445,10245865,69668915
69,109527558,81742228,10299665,71437898
70,115850174,87150268,10417733,76727870
71,122484903,93173318,10768111,82400542
72,127648139,96863762,10925625,85933472
73,131467203,100628714,11037712,89586337
74,132616964,101272854,11144977,90123212
75,133726169,101924463,11265854,90653944
76,134920930,102315269,11509087,90801517
77,136059656,102195083,11681545,90508873
78,138080692,104166594,11736085,92425844
79,139240926,105275067,11800149,93470253
80,140356736,106337594,11887822,94445107
81,142129241,108055404,12040325,96010414
82,143296696,108370386,12187588,96178133
83,146020302,110581781,12329020,98248096
84,152704335,116934538,12388423,104541450
85,160551994,124148725,12615192,111528868
86,162238343,125772267,12695537,113072065
87,163545490,127015966,12749120,114262181
88,165785478,128629904,13226544,115398695
89,167324852,128318138,13638705,114674768
90,168533257,129080728,13930313,115145750
